game.GameHandler.start(GameHandler.java:36)		Begining game
game.GameHandler.showPlayerHands(GameHandler.java:182)	0: [4 of Hearts, 10 of Hearts, King of Hearts, 2 of Spades, 5 of Spades, 8 of Spades, 9 of Spades, 7 of Diamonds, 10 of Diamonds, Queen of Diamonds, 2 of Clubs, Jack of Clubs, Ace of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	1: [6 of Spades, 7 of Spades, 10 of Spades, Jack of Spades, Queen of Spades, Ace of Spades, 9 of Diamonds, King of Diamonds, 5 of Clubs, 6 of Clubs, 7 of Clubs, 8 of Clubs, 9 of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	2: [2 of Hearts, 5 of Hearts, 8 of Hearts, 9 of Hearts, Jack of Hearts, 3 of Spades, 4 of Spades, 2 of Diamonds, 4 of Diamonds, 5 of Diamonds, 6 of Diamonds, Jack of Diamonds, 10 of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	3: [3 of Hearts, 6 of Hearts, 7 of Hearts, Queen of Hearts, Ace of Hearts, King of Spades, 3 of Diamonds, 8 of Diamonds, Ace of Diamonds, 3 of Clubs, 4 of Clubs, Queen of Clubs, King of Clubs]
game.GameHandler.pass(GameHandler.java:240)		0 is Passing [Ace of Clubs, King of Hearts, Queen of Diamonds]
game.GameHandler.pass(GameHandler.java:240)		1 is Passing [Ace of Spades, King of Diamonds, Queen of Spades]
game.GameHandler.pass(GameHandler.java:240)		2 is Passing [Jack of Hearts, Jack of Diamonds, 10 of Clubs]
game.GameHandler.pass(GameHandler.java:240)		3 is Passing [King of Clubs, Ace of Hearts, Ace of Diamonds]
game.GameHandler.pass(GameHandler.java:243)		dir -1
game.GameHandler.showPlayerHands(GameHandler.java:182)	0: [4 of Hearts, 10 of Hearts, 2 of Spades, 5 of Spades, 8 of Spades, 9 of Spades, Queen of Spades, Ace of Spades, 7 of Diamonds, 10 of Diamonds, King of Diamonds, 2 of Clubs, Jack of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	1: [Jack of Hearts, 6 of Spades, 7 of Spades, 10 of Spades, Jack of Spades, 9 of Diamonds, Jack of Diamonds, 5 of Clubs, 6 of Clubs, 7 of Clubs, 8 of Clubs, 9 of Clubs, 10 of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	2: [2 of Hearts, 5 of Hearts, 8 of Hearts, 9 of Hearts, Ace of Hearts, 3 of Spades, 4 of Spades, 2 of Diamonds, 4 of Diamonds, 5 of Diamonds, 6 of Diamonds, Ace of Diamonds, King of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	3: [3 of Hearts, 6 of Hearts, 7 of Hearts, Queen of Hearts, King of Hearts, King of Spades, 3 of Diamonds, 8 of Diamonds, Queen of Diamonds, 3 of Clubs, 4 of Clubs, Queen of Clubs, Ace of Clubs]
game.GameHandler.start(GameHandler.java:57)		Pass 1
game.GameHandler.whoFirst(GameHandler.java:108)		0 is going first
game.GameHandler.showPlayerHands(GameHandler.java:182)	0: [4 of Hearts, 10 of Hearts, 2 of Spades, 5 of Spades, 8 of Spades, 9 of Spades, Queen of Spades, Ace of Spades, 7 of Diamonds, 10 of Diamonds, King of Diamonds, 2 of Clubs, Jack of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	1: [Jack of Hearts, 6 of Spades, 7 of Spades, 10 of Spades, Jack of Spades, 9 of Diamonds, Jack of Diamonds, 5 of Clubs, 6 of Clubs, 7 of Clubs, 8 of Clubs, 9 of Clubs, 10 of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	2: [2 of Hearts, 5 of Hearts, 8 of Hearts, 9 of Hearts, Ace of Hearts, 3 of Spades, 4 of Spades, 2 of Diamonds, 4 of Diamonds, 5 of Diamonds, 6 of Diamonds, Ace of Diamonds, King of Clubs]
game.GameHandler.showPlayerHands(GameHandler.java:182)	3: [3 of Hearts, 6 of Hearts, 7 of Hearts, Queen of Hearts, King of Hearts, King of Spades, 3 of Diamonds, 8 of Diamonds, Queen of Diamonds, 3 of Clubs, 4 of Clubs, Queen of Clubs, Ace of Clubs]
game.GameHandler.playGame(GameHandler.java:128)		Start hand
game.GameHandler.playGame(GameHandler.java:135)		Table: [2 of Spades, 6 of Spades, 3 of Spades, King of Spades]
game.GameHandler.playGame(GameHandler.java:136)		3 won
game.GameHandler.score(GameHandler.java:162)		Scoreing...
